"Year","Industry","A","L","E","NI","CFO","Lagged.Assets","Rev","Lagged.Rev","Rec","Lagged.Rec","PPE","TA","X.Rev","X.Rec","X..Revit....Recit.","TA_scaled","inv_Asset.x","rev_rec.x","ppe_scaled.x","BZ","Gwth","Lev","TANG","Years.of.Est","Age","SIG","AudFee","Audit.Firm.Tenure","AudTenure","AudRotation","(Intercept)","inv_Asset.y","rev_rec.y","ppe_scaled.y","NDA","DA.x","ADA.x","DA.y","ADA.y"
2017,"GT BANK",2824928985,2240584624,584344361,161284680,353397327,2613340074,419226271,NA,1449283791,1590083552,98669998,-192112647,419226271,-140799761,278426510,-0.0735123028615066,3.82652074235938e-10,0.106540481573773,0.0377562793995559,NA,NA,0.793147238708374,0.0294440919019758,27,3.29583686600433,3.5424,21.932553490108,7,1.94591014905531,1,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.00852511150017354,-0.064987191361333,0.064987191361333,-0.064987191361333,0.064987191361333
2018,"GT BANK",2712521494,2200679235,511842259,166919765,224625664,2824928985,434653969,419226271,1262005001,1449283791,111825917,-57705899,15427698,-187278790,-171851092,-0.0204273804072282,3.53991199534526e-10,-0.0608337741983981,0.0395853904978783,19.8539213583777,0.0368004084362356,0.811303888233816,0.0340171163192112,28,3.3322045101752,3.5424,21.9133453674492,8,2.07944154167984,1,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.0160337711241512,-0.00439360928307702,0.00439360928307702,-0.00439360928307702,0.00439360928307702
2019,"GT BANK",3097248495,2491358899,605889596,175125281,197853667,2712521494,435306541,434653969,1502085356,1262005001,141774863,-22728386,652572,240080355,-239427783,-0.00837906208311137,3.68660673182485e-10,-0.0882676076593699,0.0522668164339346,19.8900607989328,0.00150135980927854,0.804378112709358,0.03771692650863,29,3.36729582998647,3.5424,22.0473971918244,9,2.19722457733622,1,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.0107785316861953,0.00239946960308392,0.00239946960308392,0.00239946960308392,0.00239946960308392
2020,"GT BANK",4061543605,3359144080,702399525,178188398,327793445,3097248495,455229759,435306541,1662830742,1502085356,148782835,-149605047,19923218,160745386,-140822168,-0.0483025650804296,3.22867216374255e-10,-0.0454668613859477,0.0480370997807201,19.8915610328282,0.045768248632864,0.827060942018373,0.0300896394921414,30,3.40119738166216,3.5424,22.321572686924,10,2.30258509299405,1,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.0169267239086105,-0.031375841171819,0.031375841171819,-0.031375841171819,0.031375841171819
2021,"GT BANK",143716044,6076055,137639949,8282599,4157726,4061543605,447729585,455229759,1802702395,1662830742,203971924,4124873,-7500174,139871653,-147371827,0.00101559244493203,2.46211809413776e-10,-0.0362846841822839,0.0502202964776492,19.9363128142985,-0.0164755793129069,0.0422781954671672,0.0375221874238423,31,3.43398720448515,3.5424,22.4163157712205,1,0,0,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,-0.0174628658637313,0.0184784583086633,0.0184784583086633,0.0184784583086633,0.0184784583086633
2022,"GT BANK",163995022,26043503,137951519,88605108,21669857,143716044,538784897,447729585,1885853404,1802702395,197860484,66935251,91055312,83151009,7904303,0.465746545319603,6.95816536670046e-09,0.0549994473825066,1.37674596720739,19.9197000032258,0.203371220152897,0.158806667924347,0.0340171163192112,32,3.46573590279973,3.5424,22.5867964259309,2,0.693147180559945,0,-0.0213015223482424,-173512182.309369,-0.0936521842748567,1.23432065499331,1.87715287508595,-1.41140632976635,1.41140632976635,-1.41140632976635,1.41140632976635
2013,"Stanbic Bank",761451,660242,97634,20773,91682,676819,111226,91860,383927,290915,24988,-70909,19366,93012,-73646,-0.104768039904317,1.47749989288126e-06,-0.108811957111133,0.0369197673233169,11.4280209578798,0.210820814282604,0.867084027731266,0.0361366923800898,6,1.79175946922805,0.6696,20.452828875767,3,1.09861228866811,0,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0868070585723823,-0.0179609813319348,0.0179609813319348,-0.0179609813319348,0.0179609813319348
2014,"Stanbic Bank",941919,821675,120244,34459,28383,761451,130654,111226,407418,383927,24004,6076,19428,23491,-4063,0.00797950229233398,1.31328214159545e-06,-0.00533586534130233,0.0315240245268573,11.6193194464183,0.174671389782964,0.872341464605768,0.0327476980417956,7,1.94591014905531,0.6696,20.6662107118896,4,1.38629436111989,0,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0989879342210931,0.106967436513427,0.106967436513427,0.106967436513427,0.106967436513427
2015,"Stanbic Bank",937564,808597,128967,18891,15082,941919,140027,130654,380295,407418,25311,3809,9373,-27123,-17750,0.00404387213762542,1.0616624147087e-06,-0.0188445078610794,0.0268717373786918,11.7803078866301,0.0717390971573775,0.862444590449292,0.0254133749478583,8,2.07944154167984,0.6696,20.6587955801454,5,1.6094379124341,1,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0989329640567254,0.102976836194351,0.102976836194351,0.102976836194351,0.102976836194351
2016,"Stanbic Bank",1053523,912725,143268,28520,201295,937564,156425,140027,368229,380295,22962,-172775,16398,-12066,4332,-0.184280753100588,1.06659385385958e-06,0.00462048457491969,0.0244911280723236,11.8495905401398,0.117105986702565,0.866355077202871,0.0269965570350397,9,2.19722457733622,0.1886,20.7754056229588,6,1.79175946922805,1,-0.100010169804128,-80388.0110541749,0.240588057453744,4.74166565736156,-0.0993890055710286,-0.0848917475295598,0.0848917475295598,-0.0848917475295598,0.0848917475295598
